,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
63,0.0501,8442.0,44.31,-96.79,4,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847
3271,0.0257,11300.0,28.67,77.2,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,538.8,469.459,69.341,29.4,38.09192,19.49525
3377,0.0125,10289.0,-28.92,29.55,15,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,508.4,659.49,-151.09,8.57143,18.98313,1.90458
1608,-0.0045,220.0,-17.82,31.57,2,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,322.8,654.113,-331.313,22.2,27.41816,7.9551
1960,-0.1295,9918.0,44.73,-93.12,8,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,496.1,513.245,-17.145,17.65,30.015,0.75342
790,0.0077,6205.0,41.12,-96.5,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,1027.5,504.866,522.634,18.36667,29.26888,4.1768
1438,0.0649,7700.0,31.38,72.03,2,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,202.1,384.957,-182.857,31.72,41.81672,19.74682
4330,0.0545,6490.0,35.32,106.07,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,209.7000065,372.7283595,-163.028,14.08000002,24.99609172,-0.377882865
4348,0.1163,4593.0,35.32,106.07,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,288.3,360.971,-72.671,13.16,23.88756,-1.61313
2516,-0.1563,6400.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
1106,-0.2808,14600.0,20.73,-101.32,7,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,592.1,710.877,-118.777,19.52857,32.77286,12.24747
527,-0.0714,14000.0,39.8,-90.82,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,895.4,576.611,318.789,21.33333,31.31466,6.93685
2786,0.0156,3840.0,28.63,77.18,1,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,560.1,444.589,115.511,30.1,41.91501,18.08905
1606,0.1054,2941.0,-17.82,31.57,1,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,755.6,629.893,125.707,21.53333,25.16097,8.72194
3384,-0.0964,7331.0,-28.92,29.55,17,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,295.3,691.762,-396.462,8.9,21.71303,1.28868
2622,-0.2734,1792.0,-19.58,31.23,10,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,525.5,609.681,-84.181,22.38333,26.21487,8.72521
1134,-0.0182,10440.0,38.08,-86.15,9,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,533.8,548.603,-14.803,21.4,33.68884,8.97663
2791,0.1767,9599.0,28.67,77.2,3,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,843.5,449.03,394.47,29.74,40.53674,20.90237
3910,-0.0575,14090.0,44.87,20.33,27,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,511.0,513.454,-2.454,17.84286,27.75401,8.77322
1879,0.079,9534.0,41.22,-83.77,8,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,430.3,494.133,-63.833,19.43333,28.6942,6.09839
1431,-0.0552,14500.0,31.38,72.03,1,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,499.7,394.544,105.156,31.78,40.21164,21.4263
4351,0.0047,5331.0,35.32,106.07,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,265.3,384.166,-118.866,13.62,23.51321,-1.16091
3996,-0.1714,9510.0,34.3,-86.02,17,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,724.0,628.795,95.205,21.78333,31.13493,6.42071
