yield_of_CT,Tmax,Tmin,Relative_yield_change
9933.0,29.94307,-9.69776,-0.0025
10800.0,30.50853,14.79686,-0.0093
6200.0,34.36645,26.31444,0.0
8535.0,30.8548,4.05981,-0.0239
6300.0,23.49619,5.37768,0.4286
8312.0,34.24281,20.35569,-0.084
5800.0,31.90425,9.23065,-0.1552
12300.0,28.37883,6.33503,-0.1138
3220.0,33.02875,1.94775,-0.3882
2400.0,36.0036,6.03471,0.625
2400.0,26.99082,16.62827,-0.4583
9867.0,28.81297,2.04897,-0.3612
8358.0,37.5226,17.66174,-0.0823
7810.0,29.46641,7.04664,-0.0077
7800.0,26.45092,2.04168,-0.0513
2965.0,25.68532,14.17448,0.6472
11052.0,28.13424,5.21823,-0.159
6500.0,23.0099,4.34895,-0.5385
7600.0,29.66522,5.8443,-0.0395
9100.0,31.93325,2.16649,0.022
7672.0,29.94307,-9.69776,0.187
8232.0,18.50414,1.49847,-0.336
9878.0,28.71078,5.11918,-0.0101
8100.0,32.85749,5.52775,0.321
7352.0,25.39096,3.5754,0.0545
10750.0,31.09053,10.40166,0.1805
8600.0,29.63389,7.03558,-0.1477
7500.0,37.48028,25.51267,0.3333
11457.0,27.77941,-5.48222,0.0377
8570.0,28.75747,5.77022,-0.1774
8700.0,33.27053,6.80028,0.0
11700.0,30.0553,4.95569,-0.1282
9900.0,32.53722,25.76134,0.1364
16410.0,29.77124,5.90084,-0.4619
6918.0,31.67139,1.97819,-0.1623
2550.0,28.98434041,16.10986427,0.5969
6290.0,27.63915,3.76492,-0.0111
1590.0,24.50043,6.99138,-0.1358
11150.0,26.0541,-2.70737,-0.0556
13600.0,26.99082,16.62827,0.0368
7683.0,36.62847,14.02768,-0.3003
4973.0,30.64233,15.96019,-0.1088
4600.0,27.16554,1.73544,-0.2826
7649.0,29.09027,2.10085,-0.0297
9270.0,28.42426,2.39395,0.2977
7937.0,29.06431,2.79862,0.0157
6453.0,28.45637,5.49375,-0.0862
4685.0,24.53529,0.1758,0.0455
2500.0,34.2233,23.29779,0.36
10607.0,28.80748,2.59857,0.064
9702.0,33.27401,4.93877,0.2369
7300.0,30.87766,5.47548,0.0274
8800.0,28.88535,4.94658,-0.2955
12900.0,38.91278,19.24657,0.124
2810.0,22.00519,7.05137,-0.1423
8140.0,29.36416,0.70092,0.0061
12254.0,27.27658,-4.86435,-0.0756
9100.0,30.50853,14.79686,0.1319
7910.0,25.78936,8.37571,-0.2225
8624.0,31.52832,17.43721,-0.0237
4730.0,29.7583,2.0238,0.0402
6752.0,23.2186,1.69684,0.3906
4005.0,28.01236,13.10176,0.196
13060.0,30.22943,6.30626,-0.1271
7608.0,25.57545,10.66417,-0.0271
8473.0,30.42576,2.4852,-0.0362
2630.0,33.3985,8.79652,0.1939
5390.0,29.33674,6.41483,0.2801
7994.0,41.17633,19.2845,0.0659
9260.0,25.6416,10.45753,-0.6102
11710.0,33.66442,18.44878,0.0384
13100.0,29.90518,2.11911,0.1374
1700.0,32.92859,3.59009,-0.1353
12926.0,18.74532,-0.57008,-0.0597
8769.0,24.13222,10.73315,-0.0128
9000.0,27.69235,5.07457,0.3444
4600.0,26.30599,2.38646,0.0217
11125.0,20.75053,1.0267,-0.0867
12410.0,30.22943,6.30626,-0.0129
9055.0,27.21006,1.8438,-0.1238
3430.0,22.00519,7.05137,-0.3032
7905.0,25.05715647,0.083944813,0.0172
3300.0,40.21164,21.4263,0.0303
9757.0,33.35267,3.57247,0.195
8300.0,27.92987,13.61402,-0.0843
8228.0,30.85223,9.8688,-0.0331
5356.0,25.28738,0.09738,0.0616
