,Run1,Run1,Run1,Run2,Run2,Run2,Run3,Run3,Run3,Run4,Run4,Run4,Run5,Run5,Run5
,gen,train,test,gen,train,test,gen,train,test,gen,train,test,gen,train,test
17,18,0.20668773128761955,0.21969862078187816,18,0.20610511904208978,0.21941210102878486,18,0.20616833655094474,0.21774881916770103,18,0.20654327713959048,0.22105194851430246,18,0.20664331039690623,0.21987140869581695
18,19,0.20668773128761955,0.21969862078187816,19,0.20610466854901097,0.21941701901396213,19,0.20616015835559484,0.2177721466445339,19,0.20654141643924204,0.22107211419765582,19,0.20664102092458622,0.2198531020229016
19,20,0.2066877312186623,0.21969860831254096,20,0.20610392510077444,0.21939338162259056,20,0.2061598621394969,0.21777517226023707,20,0.20624405633891274,0.2206860844341298,20,0.20648197510947794,0.2198531020229016
20,21,0.20635296490920438,0.21969860831254096,21,0.206099577784588,0.2194165214585465,21,0.2061568542992661,0.21777415523712965,21,0.20624302482082102,0.22068953710844977,21,0.20648196897358903,0.2198531020229016
21,22,0.20630152562319962,0.21961050766297321,22,0.20609700177970805,0.21942771260923433,22,0.20597485823999803,0.21777975487668985,22,0.2062116566670104,0.2209193359020303,22,0.20648195915163847,0.2198531020229016
22,23,0.2061097554205158,0.21961050766297321,23,0.20609659666761748,0.2194308750198125,23,0.20593275416709356,0.21819163181236895,23,0.20621159620488833,0.22091965550055198,23,0.20648157100397924,0.21987187020669705
23,24,0.20610975461634531,0.21961051214359012,24,0.20609659666761748,0.2194308750198125,24,0.20591270745748555,0.21839094049333396,24,0.20621156990222958,0.22091965550055198,24,0.20647882686897173,0.21987187020669705
24,25,0.20610975107468255,0.21961051092618006,25,0.20609619054078734,0.21942755940768066,25,0.20572004572131442,0.21839094049333396,25,0.20621105340972948,0.22094965077477735,25,0.2064787070065511,0.21986992346305226
25,26,0.20610970366831896,0.21961051092618006,26,0.20609544692498144,0.21941857344835952,26,0.20571882699089095,0.21837905595669654,26,0.20621099491937267,0.22094965077477735,26,0.20647849462018425,0.2198724456001255
26,27,0.2060221086233347,0.21890276228632904,27,0.20609455131656443,0.21914851489024081,27,0.20564522849575753,0.21830544882675262,27,0.20621097798699503,0.22094965077477735,27,0.2063840678748799,0.2199806282853197
27,28,0.2059864557106671,0.21892425077116598,28,0.20609438200981126,0.21914263458905137,28,0.2056445792743714,0.2183038152102957,28,0.20621088747802363,0.22094965077477735,28,0.20637925802419693,0.22005996368354616
28,29,0.2059862144408621,0.2189232230204052,29,0.2060943299257291,0.21914330367640142,29,0.2056441256949936,0.21829971972998255,29,0.20621082462835466,0.22094965077477735,29,0.2063791515283539,0.22005931009214835
29,30,0.2059859217054581,0.21892369382831958,30,0.20609424689996075,0.21914491509910455,30,0.20564398005319667,0.21830156391534503,30,0.2062107933859747,0.22094965077477735,30,0.20637913955094725,0.22005932874532205
30,31,0.20598589973852102,0.21892372881217181,31,0.2060939835731233,0.21914665177406806,31,0.2056434491223177,0.2182968516679858,31,0.20620926077478788,0.2209169436737459,31,0.20637749169954123,0.22006595235892606
